x,mean,min,max,panel,metric,variant
0.0,0.5321499807880054,0.5183295854753529,0.5459703761006578,(a),roc_auc_mean,ECFP-XGB
0.25,0.5327358075611257,0.5206200247316639,0.5448515903905876,(a),roc_auc_mean,ECFP-XGB
0.5,0.5330340694896718,0.5194307924283912,0.5466373465509525,(a),roc_auc_mean,ECFP-XGB
0.75,0.5322289461083021,0.5202368305865324,0.5442210616300719,(a),roc_auc_mean,ECFP-XGB
1.0,0.5314032145259279,0.5197302185594119,0.5430762104924438,(a),roc_auc_mean,ECFP-XGB
0.0,0.5799954098709572,0.5698057589871057,0.5901850607548087,(a),roc_auc_mean,PC-CFRL
0.25,0.5826243050163791,0.5737973314933265,0.5914512785394318,(a),roc_auc_mean,PC-CFRL
0.5,0.584719869526521,0.5751971548230758,0.5942425842299662,(a),roc_auc_mean,PC-CFRL
0.75,0.5831756159221619,0.5750461378731372,0.5913050939711866,(a),roc_auc_mean,PC-CFRL
1.0,0.5841475929382822,0.5771231568622919,0.5911720290142727,(a),roc_auc_mean,PC-CFRL
0.0,0.14650866326566814,0.1143519368884994,0.1786653896428369,(b),ece_10_mean,ECFP-XGB
0.25,0.14669578190478244,0.1149254235325853,0.1784661402769796,(b),ece_10_mean,ECFP-XGB
0.5,0.14682437758139738,0.1150731674148785,0.1785755877479163,(b),ece_10_mean,ECFP-XGB
0.75,0.14705244205136314,0.1154061653095593,0.178698718793167,(b),ece_10_mean,ECFP-XGB
1.0,0.14697247784574474,0.1149691508882136,0.1789758048032759,(b),ece_10_mean,ECFP-XGB
0.0,0.15218102389563515,0.1181509515051449,0.1862110962861254,(b),ece_10_mean,PC-CFRL
0.25,0.15119637589820178,0.1169176271678928,0.1854751246285108,(b),ece_10_mean,PC-CFRL
0.5,0.1505609243555305,0.1161287369372376,0.1849931117738234,(b),ece_10_mean,PC-CFRL
0.75,0.1517784050898236,0.1183791431931748,0.1851776669864724,(b),ece_10_mean,PC-CFRL
1.0,0.1503611754406615,0.11626587453013,0.184456476351193,(b),ece_10_mean,PC-CFRL
0.5,0.5434458151398627,0.5199396372610714,0.566951993018654,(c),selective_accuracy_mean,ECFP-XGB
0.7,0.5438927168860923,0.5427658651009711,0.5450195686712134,(c),selective_accuracy_mean,ECFP-XGB
0.9,0.5545093154184615,0.5365929573712285,0.5724256734656944,(c),selective_accuracy_mean,ECFP-XGB
1.0,0.5533227293312379,0.5335418013609581,0.5731036573015177,(c),selective_accuracy_mean,ECFP-XGB
0.5,0.5852179408862885,0.5476873299042688,0.6227485518683082,(c),selective_accuracy_mean,PC-CFRL
0.7,0.5773402397542168,0.5411026089676587,0.6135778705407748,(c),selective_accuracy_mean,PC-CFRL
0.9,0.567538840004816,0.5341805673832443,0.6008971126263878,(c),selective_accuracy_mean,PC-CFRL
1.0,0.5620993403281218,0.53051782418621,0.5936808564700337,(c),selective_accuracy_mean,PC-CFRL
0.5,0.541556817362475,0.5159419899528884,0.5671716447720616,(d),selective_accuracy_mean,ECFP-XGB
0.7,0.5432490134863206,0.5420288273525955,0.5444691996200457,(d),selective_accuracy_mean,ECFP-XGB
0.9,0.5525517908423387,0.5335803891263796,0.571523192558298,(d),selective_accuracy_mean,ECFP-XGB
1.0,0.5494700498897074,0.5289697812889425,0.5699703184904724,(d),selective_accuracy_mean,ECFP-XGB
0.5,0.5910906280769506,0.5553413292179261,0.6268399269359751,(d),selective_accuracy_mean,PC-CFRL
0.7,0.5835871599094331,0.5493947269980466,0.6177795928208196,(d),selective_accuracy_mean,PC-CFRL
0.9,0.5731255005722917,0.5418989681542573,0.6043520329903262,(d),selective_accuracy_mean,PC-CFRL
1.0,0.5668840625297544,0.5378073601236704,0.5959607649358386,(d),selective_accuracy_mean,PC-CFRL
