bin,mean_prob,observed_rate,n,experiment,variant,panel,coverage,risk,positive_lift
1.0,0.18361,0.007479999999999999,377.0,cross_database_transfer,ecfp_absdiff_xgb,calibration_cross_database_transfer,,,
2.0,0.2676764705882353,0.20195882352941177,2583.0,cross_database_transfer,ecfp_absdiff_xgb,calibration_cross_database_transfer,,,
3.0,0.36646666666666666,0.22355,13264.0,cross_database_transfer,ecfp_absdiff_xgb,calibration_cross_database_transfer,,,
4.0,0.4764,0.333525,198130.0,cross_database_transfer,ecfp_absdiff_xgb,calibration_cross_database_transfer,,,
5.0,0.5244541666666667,0.3861666666666667,196184.0,cross_database_transfer,ecfp_absdiff_xgb,calibration_cross_database_transfer,,,
6.0,0.6257166666666667,0.501625,1450.0,cross_database_transfer,ecfp_absdiff_xgb,calibration_cross_database_transfer,,,
7.0,0.7381272727272727,0.7802818181818182,440.0,cross_database_transfer,ecfp_absdiff_xgb,calibration_cross_database_transfer,,,
1.0,0.18146666666666667,0.014522222222222221,3045.0,cross_database_transfer,rich_diff_scalars,calibration_cross_database_transfer,,,
2.0,0.26411764705882357,0.11658235294117647,10119.0,cross_database_transfer,rich_diff_scalars,calibration_cross_database_transfer,,,
3.0,0.3674041666666667,0.22768333333333335,48454.0,cross_database_transfer,rich_diff_scalars,calibration_cross_database_transfer,,,
4.0,0.456875,0.30121666666666663,171676.0,cross_database_transfer,rich_diff_scalars,calibration_cross_database_transfer,,,
5.0,0.5408541666666666,0.39762499999999995,146106.0,cross_database_transfer,rich_diff_scalars,calibration_cross_database_transfer,,,
6.0,0.6313541666666667,0.5262041666666667,30504.0,cross_database_transfer,rich_diff_scalars,calibration_cross_database_transfer,,,
7.0,0.727325,0.7492958333333334,2405.0,cross_database_transfer,rich_diff_scalars,calibration_cross_database_transfer,,,
8.0,0.8216625,0.8044125,119.0,cross_database_transfer,rich_diff_scalars,calibration_cross_database_transfer,,,
1.0,0.16985555555555554,0.017355555555555555,3239.0,cross_database_transfer,rich_scalars_only,calibration_cross_database_transfer,,,
2.0,0.27003333333333335,0.13542222222222222,8783.0,cross_database_transfer,rich_scalars_only,calibration_cross_database_transfer,,,
3.0,0.36667083333333333,0.23482916666666667,44346.0,cross_database_transfer,rich_scalars_only,calibration_cross_database_transfer,,,
4.0,0.45707499999999995,0.29749583333333335,176317.0,cross_database_transfer,rich_scalars_only,calibration_cross_database_transfer,,,
5.0,0.5409916666666666,0.3955,143290.0,cross_database_transfer,rich_scalars_only,calibration_cross_database_transfer,,,
6.0,0.6344916666666667,0.5221250000000001,32615.0,cross_database_transfer,rich_scalars_only,calibration_cross_database_transfer,,,
7.0,0.7268666666666667,0.6510958333333333,3827.0,cross_database_transfer,rich_scalars_only,calibration_cross_database_transfer,,,
8.0,0.8043,0.6666666666666666,11.0,cross_database_transfer,rich_scalars_only,calibration_cross_database_transfer,,,
0.0,0.06449583333333334,0.03649583333333333,6511.0,cross_database_transfer,extratrees_scalars,calibration_cross_database_transfer,,,
1.0,0.16093333333333334,0.14542916666666666,14853.0,cross_database_transfer,extratrees_scalars,calibration_cross_database_transfer,,,
2.0,0.25915,0.2426541666666667,54660.0,cross_database_transfer,extratrees_scalars,calibration_cross_database_transfer,,,
3.0,0.35303749999999995,0.30119999999999997,115481.0,cross_database_transfer,extratrees_scalars,calibration_cross_database_transfer,,,
4.0,0.44789166666666663,0.3546666666666667,120751.0,cross_database_transfer,extratrees_scalars,calibration_cross_database_transfer,,,
5.0,0.5430625,0.42955000000000004,66818.0,cross_database_transfer,extratrees_scalars,calibration_cross_database_transfer,,,
6.0,0.6393041666666667,0.5197791666666667,22874.0,cross_database_transfer,extratrees_scalars,calibration_cross_database_transfer,,,
7.0,0.7398166666666667,0.6171458333333334,6795.0,cross_database_transfer,extratrees_scalars,calibration_cross_database_transfer,,,
8.0,0.84255,0.7498999999999999,2993.0,cross_database_transfer,extratrees_scalars,calibration_cross_database_transfer,,,
9.0,0.9328,0.8471304347826087,692.0,cross_database_transfer,extratrees_scalars,calibration_cross_database_transfer,,,
,,,,cross_database_transfer,ecfp_absdiff_xgb,risk_cross_database_transfer,0.1,0.29265416666666666,1.2462833333333332
,,,,cross_database_transfer,ecfp_absdiff_xgb,risk_cross_database_transfer,0.2,0.3533208333333333,1.151725
,,,,cross_database_transfer,ecfp_absdiff_xgb,risk_cross_database_transfer,0.4,0.3960166666666667,1.0887
,,,,cross_database_transfer,ecfp_absdiff_xgb,risk_cross_database_transfer,0.6,0.43993750000000004,1.0641291666666668
,,,,cross_database_transfer,ecfp_absdiff_xgb,risk_cross_database_transfer,0.8,0.46146249999999994,1.0465416666666667
,,,,cross_database_transfer,ecfp_absdiff_xgb,risk_cross_database_transfer,1.0,0.46403750000000005,1.0
,,,,cross_database_transfer,rich_diff_scalars,risk_cross_database_transfer,0.1,0.25501250000000003,1.5171000000000001
,,,,cross_database_transfer,rich_diff_scalars,risk_cross_database_transfer,0.2,0.29423333333333335,1.4051375000000002
,,,,cross_database_transfer,rich_diff_scalars,risk_cross_database_transfer,0.4,0.337175,1.2619875
,,,,cross_database_transfer,rich_diff_scalars,risk_cross_database_transfer,0.6,0.36674999999999996,1.1566750000000001
,,,,cross_database_transfer,rich_diff_scalars,risk_cross_database_transfer,0.8,0.39028749999999995,1.086625
,,,,cross_database_transfer,rich_diff_scalars,risk_cross_database_transfer,1.0,0.40905416666666666,1.0
,,,,cross_database_transfer,rich_scalars_only,risk_cross_database_transfer,0.1,0.26374583333333335,1.5207291666666667
,,,,cross_database_transfer,rich_scalars_only,risk_cross_database_transfer,0.2,0.30787916666666665,1.407275
,,,,cross_database_transfer,rich_scalars_only,risk_cross_database_transfer,0.4,0.3444333333333333,1.2705208333333333
,,,,cross_database_transfer,rich_scalars_only,risk_cross_database_transfer,0.6,0.3694625,1.1610375
,,,,cross_database_transfer,rich_scalars_only,risk_cross_database_transfer,0.8,0.3900333333333333,1.0841083333333332
,,,,cross_database_transfer,rich_scalars_only,risk_cross_database_transfer,1.0,0.40881666666666666,1.0
,,,,cross_database_transfer,extratrees_scalars,risk_cross_database_transfer,0.1,0.16356666666666667,1.5968166666666666
,,,,cross_database_transfer,extratrees_scalars,risk_cross_database_transfer,0.2,0.21183333333333332,1.42735
,,,,cross_database_transfer,extratrees_scalars,risk_cross_database_transfer,0.4,0.26267083333333335,1.2733
,,,,cross_database_transfer,extratrees_scalars,risk_cross_database_transfer,0.6,0.29436666666666667,1.1743166666666667
,,,,cross_database_transfer,extratrees_scalars,risk_cross_database_transfer,0.8,0.32251250000000004,1.0974333333333333
,,,,cross_database_transfer,extratrees_scalars,risk_cross_database_transfer,1.0,0.35185416666666663,1.0
2.0,0.29373333333333335,0.008766666666666667,50.0,prospective_temporal,ecfp_absdiff_xgb,calibration_prospective_temporal,,,
3.0,0.37982777777777776,0.18317777777777777,2990.0,prospective_temporal,ecfp_absdiff_xgb,calibration_prospective_temporal,,,
4.0,0.46353333333333335,0.23285555555555554,18777.0,prospective_temporal,ecfp_absdiff_xgb,calibration_prospective_temporal,,,
5.0,0.5216999999999999,0.23520555555555556,24870.0,prospective_temporal,ecfp_absdiff_xgb,calibration_prospective_temporal,,,
6.0,0.6146944444444444,0.6251555555555556,359.0,prospective_temporal,ecfp_absdiff_xgb,calibration_prospective_temporal,,,
2.0,0.28895714285714286,0.07822857142857143,44.0,prospective_temporal,rich_diff_scalars,calibration_prospective_temporal,,,
3.0,0.3778722222222222,0.15064444444444444,8617.0,prospective_temporal,rich_diff_scalars,calibration_prospective_temporal,,,
4.0,0.44374444444444444,0.22997777777777775,30675.0,prospective_temporal,rich_diff_scalars,calibration_prospective_temporal,,,
5.0,0.5269777777777778,0.43732777777777776,6905.0,prospective_temporal,rich_diff_scalars,calibration_prospective_temporal,,,
6.0,0.6257,0.49909166666666666,780.0,prospective_temporal,rich_diff_scalars,calibration_prospective_temporal,,,
7.0,0.7177,0.36445999999999995,25.0,prospective_temporal,rich_diff_scalars,calibration_prospective_temporal,,,
2.0,0.29442,0.2,5.0,prospective_temporal,rich_scalars_only,calibration_prospective_temporal,,,
3.0,0.37444444444444447,0.14251666666666668,8550.0,prospective_temporal,rich_scalars_only,calibration_prospective_temporal,,,
4.0,0.44409444444444446,0.23156666666666664,30065.0,prospective_temporal,rich_scalars_only,calibration_prospective_temporal,,,
5.0,0.5310166666666666,0.4249833333333333,7093.0,prospective_temporal,rich_scalars_only,calibration_prospective_temporal,,,
6.0,0.6358833333333332,0.43095833333333333,1260.0,prospective_temporal,rich_scalars_only,calibration_prospective_temporal,,,
7.0,0.72005,0.25908333333333333,73.0,prospective_temporal,rich_scalars_only,calibration_prospective_temporal,,,
0.0,0.082,0.3333285714285714,21.0,prospective_temporal,extratrees_scalars,calibration_prospective_temporal,,,
1.0,0.1767,0.16198333333333334,420.0,prospective_temporal,extratrees_scalars,calibration_prospective_temporal,,,
2.0,0.2660722222222222,0.18380555555555556,5052.0,prospective_temporal,extratrees_scalars,calibration_prospective_temporal,,,
3.0,0.3550333333333333,0.19204444444444443,15990.0,prospective_temporal,extratrees_scalars,calibration_prospective_temporal,,,
4.0,0.4449666666666666,0.24990555555555552,16264.0,prospective_temporal,extratrees_scalars,calibration_prospective_temporal,,,
5.0,0.5373833333333333,0.3350611111111111,7019.0,prospective_temporal,extratrees_scalars,calibration_prospective_temporal,,,
6.0,0.6360833333333333,0.2927333333333333,1832.0,prospective_temporal,extratrees_scalars,calibration_prospective_temporal,,,
7.0,0.7291083333333334,0.3758416666666667,362.0,prospective_temporal,extratrees_scalars,calibration_prospective_temporal,,,
8.0,0.84705,0.61055,34.0,prospective_temporal,extratrees_scalars,calibration_prospective_temporal,,,
9.0,0.9391666666666666,0.9824666666666667,52.0,prospective_temporal,extratrees_scalars,calibration_prospective_temporal,,,
,,,,prospective_temporal,ecfp_absdiff_xgb,risk_prospective_temporal,0.1,0.2811166666666667,1.263538888888889
,,,,prospective_temporal,ecfp_absdiff_xgb,risk_prospective_temporal,0.2,0.3894222222222222,1.095688888888889
,,,,prospective_temporal,ecfp_absdiff_xgb,risk_prospective_temporal,0.4,0.5070888888888888,1.0075555555555555
,,,,prospective_temporal,ecfp_absdiff_xgb,risk_prospective_temporal,0.6,0.5243388888888889,1.03415
,,,,prospective_temporal,ecfp_absdiff_xgb,risk_prospective_temporal,0.8,0.5580944444444444,1.0012944444444445
,,,,prospective_temporal,ecfp_absdiff_xgb,risk_prospective_temporal,1.0,0.5768777777777778,1.0
,,,,prospective_temporal,rich_diff_scalars,risk_prospective_temporal,0.1,0.16497222222222221,1.9142055555555555
,,,,prospective_temporal,rich_diff_scalars,risk_prospective_temporal,0.2,0.16245555555555555,1.5807
,,,,prospective_temporal,rich_diff_scalars,risk_prospective_temporal,0.4,0.18073333333333333,1.3618777777777777
,,,,prospective_temporal,rich_diff_scalars,risk_prospective_temporal,0.6,0.19524444444444444,1.202522222222222
,,,,prospective_temporal,rich_diff_scalars,risk_prospective_temporal,0.8,0.22243333333333334,1.0963777777777777
,,,,prospective_temporal,rich_diff_scalars,risk_prospective_temporal,1.0,0.2582888888888889,1.0
,,,,prospective_temporal,rich_scalars_only,risk_prospective_temporal,0.1,0.1837277777777778,2.030438888888889
,,,,prospective_temporal,rich_scalars_only,risk_prospective_temporal,0.2,0.18322777777777777,1.7174
,,,,prospective_temporal,rich_scalars_only,risk_prospective_temporal,0.4,0.18994444444444444,1.4289611111111111
,,,,prospective_temporal,rich_scalars_only,risk_prospective_temporal,0.6,0.20080555555555557,1.2275777777777777
,,,,prospective_temporal,rich_scalars_only,risk_prospective_temporal,0.8,0.22342777777777778,1.0925333333333334
,,,,prospective_temporal,rich_scalars_only,risk_prospective_temporal,1.0,0.26253333333333334,1.0
,,,,prospective_temporal,extratrees_scalars,risk_prospective_temporal,0.1,0.19594999999999999,1.4734888888888888
,,,,prospective_temporal,extratrees_scalars,risk_prospective_temporal,0.2,0.21032777777777778,1.4055666666666666
,,,,prospective_temporal,extratrees_scalars,risk_prospective_temporal,0.4,0.20776111111111112,1.2376944444444444
,,,,prospective_temporal,extratrees_scalars,risk_prospective_temporal,0.6,0.22358888888888886,1.141227777777778
,,,,prospective_temporal,extratrees_scalars,risk_prospective_temporal,0.8,0.24487222222222224,1.0447277777777777
,,,,prospective_temporal,extratrees_scalars,risk_prospective_temporal,1.0,0.28187222222222225,1.0
