source,split_mode,variant,seed,fold,row_index,case_type,rank_score,probability,label,activity_delta,tanimoto,target,target_pref_name,smiles1,smiles2,scaffold1,scaffold2,document_source_key,assay_source_key,pair_year,n_document_sources,n_assay_sources,train_retention_after_purge
chembl_raw,family_scaffold_source_purged,rich_diff_scalars,1,0,6216,true_positive_high_confidence,0.7332969307899475,0.7332969307899475,1,1.0299997329711914,0.7123287671232876,CHEMBL2034,Glucocorticoid receptor,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(P(=O)(OCC)OCC)cc3)C[C@@]21C,O=C1C=C2CCC3C(=C2CC1)C(c1ccccc1)CC1CCCC13,O=C1C=C2CCC3C(=C2CC1)C(c1ccccc1)CC1CCCC13,CHEMBL1129561|CHEMBL1135457|CHEMBL1138676|CHEMBL1139120|CHEMBL1139829|CHEMBL1142367|CHEMBL1143774|CHEMBL1156190|CHEMBL1165993|CHEMBL1909046,CHEMBL1106116|CHEMBL1166110|CHEMBL1909150|CHEMBL681744|CHEMBL681747|CHEMBL833648|CHEMBL838827|CHEMBL875218|CHEMBL903422|CHEMBL906013|CHEMBL906014|CHEMBL906015|CHEMBL941996|CHEMBL941997|CHEMBL942005|CHEMBL950162|CHEMBL950163,2010,10,17,0.9626062322946176
chembl_raw,family_scaffold_source_purged,rich_diff_scalars,1,1,1536,true_positive_high_confidence,0.7297725677490234,0.7297725677490234,1,2.190000057220459,0.7659574468085106,CHEMBL233,Mu-type opioid receptor,CCCCCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@@H]2C,CCN1CC[C@@]2(C)c3cc(O)ccc3CC1[C@H]2C,c1ccc2c(c1)CC1CC2CCN1,c1ccc2c(c1)CC1CC2CCN1,CHEMBL1127360,CHEMBL746681,1994,1,1,0.9781833438221104
chembl_raw,family_scaffold_source_purged,rich_diff_scalars,1,1,9825,true_positive_high_confidence,0.7297725677490234,0.7297725677490234,1,1.420000076293945,0.7659574468085106,CHEMBL233,Mu-type opioid receptor,CCCCCCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@H]2C,CCN1CC[C@@]2(C)c3cc(O)ccc3CC1[C@H]2C,c1ccc2c(c1)CC1CC2CCN1,c1ccc2c(c1)CC1CC2CCN1,CHEMBL1127360,CHEMBL746681,1994,1,1,0.9781833438221104
chembl_raw,family_scaffold_source_purged,rich_diff_scalars,1,1,6231,true_positive_high_confidence,0.7297725677490234,0.7297725677490234,1,1.640000343322754,0.7659574468085106,CHEMBL236,Delta-type opioid receptor,CCCCCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@H]2C,CCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@@H]2C,c1ccc2c(c1)CC1CC2CCN1,c1ccc2c(c1)CC1CC2CCN1,CHEMBL1127360,CHEMBL750113,1994,1,1,0.9781833438221104
chembl_raw,family_scaffold_source_purged,rich_diff_scalars,2,1,9825,true_positive_high_confidence,0.7241904735565186,0.7241904735565186,1,1.420000076293945,0.7659574468085106,CHEMBL233,Mu-type opioid receptor,CCCCCCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@H]2C,CCN1CC[C@@]2(C)c3cc(O)ccc3CC1[C@H]2C,c1ccc2c(c1)CC1CC2CCN1,c1ccc2c(c1)CC1CC2CCN1,CHEMBL1127360,CHEMBL746681,1994,1,1,0.9781833438221104
chembl_raw,family_scaffold_source_purged,rich_diff_scalars,1,1,2231,true_positive_high_confidence,0.7234618067741394,0.7234618067741394,1,1.0,0.7333333333333333,CHEMBL236,Delta-type opioid receptor,O=C(Cc1ccc(C(F)(F)F)cc1)N1CCCC[C@H]1CN1CCCC1,O=C(Cc1ccc(O)cc1)N1CCCCC1CN1CCCC1,O=C(Cc1ccccc1)N1CCCCC1CN1CCCC1,O=C(Cc1ccccc1)N1CCCCC1CN1CCCC1,CHEMBL1125742|CHEMBL1125862,CHEMBL757334|CHEMBL757337,1991,2,2,0.9781833438221104
chembl_raw,family_scaffold_source_purged,rich_diff_scalars,1,1,10653,true_positive_high_confidence,0.721049427986145,0.721049427986145,1,2.0299997329711914,0.7659574468085106,CHEMBL233,Mu-type opioid receptor,CCCCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@@H]2C,CCN1CC[C@@]2(C)c3cc(O)ccc3CC1[C@H]2C,c1ccc2c(c1)CC1CC2CCN1,c1ccc2c(c1)CC1CC2CCN1,CHEMBL1127360,CHEMBL746681,1994,1,1,0.9781833438221104
chembl_raw,family_scaffold_source_purged,rich_diff_scalars,1,1,1759,true_positive_high_confidence,0.721049427986145,0.721049427986145,1,1.119999885559082,0.7659574468085106,CHEMBL233,Mu-type opioid receptor,CCCCCCN1CC[C@@]2(C)c3cc(O)ccc3CC1[C@H]2C,CCN1CC[C@@]2(C)c3cc(O)ccc3CC1[C@H]2C,c1ccc2c(c1)CC1CC2CCN1,c1ccc2c(c1)CC1CC2CCN1,CHEMBL1127360,CHEMBL746681,1994,1,1,0.9781833438221104
chembl_raw,family_scaffold_source_purged,rich_diff_scalars,2,1,6231,true_positive_high_confidence,0.7189413905143738,0.7189413905143738,1,1.640000343322754,0.7659574468085106,CHEMBL236,Delta-type opioid receptor,CCCCCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@H]2C,CCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@@H]2C,c1ccc2c(c1)CC1CC2CCN1,c1ccc2c(c1)CC1CC2CCN1,CHEMBL1127360,CHEMBL750113,1994,1,1,0.9781833438221104
chembl_raw,family_scaffold_source_purged,rich_diff_scalars,2,1,1536,true_positive_high_confidence,0.7189413905143738,0.7189413905143738,1,2.190000057220459,0.7659574468085106,CHEMBL233,Mu-type opioid receptor,CCCCCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@@H]2C,CCN1CC[C@@]2(C)c3cc(O)ccc3CC1[C@H]2C,c1ccc2c(c1)CC1CC2CCN1,c1ccc2c(c1)CC1CC2CCN1,CHEMBL1127360,CHEMBL746681,1994,1,1,0.9781833438221104
